南京 在 哪里	在 这里 了
你 存在 我 深深 的 脑海 里	我 的 梦里 我 的 心里 我 的 歌声 里
你 就 会 说 这 两个 字	我 真的 什么 都 不会
吃 你 姐	face111 我 什么 亲人 都 木有
武汉 的	不会 查
你 真傻	你 就是 大 傻瓜
介绍 好吃 的	我 懒得 介绍 了 去 梅州 行 网站 上 看看 吧
怎 的 说错 了 吗	那 啥 是 对 的
我 跟 你 不 一样	哦 可是 哪里 有 差异 呢
早 知道 把 你 煎 了	抱歉 没能 为 您 找到 相关 的 信息
你 要 给 我 买 吃 的 么	遵命
问 你 啊 你 是 男 是 女	菲菲 这么 可爱 怎么 可能 是 男 的
最 爱 每天 来 骚扰 你 一下	与其说是 聊天 不如说是 问答式 的 吧
做 有 什么 好 的	哦 哦
背首 诗 我 听听	是
揉 揉 脑袋 不 哭 了 乖 啾	嗯
不管 了 而且 你 承认 你 是 我 的 了	嗯 嗯 嗯 嗯 你 肿 么 能 这样
再说 我 走 了	嗯 再见
真的 真的 吗 爱 你	好 吧 我 相信 你
下跪	是 大人
时间 让 我们 更 坚强	我 觉得 有
你 太 无耻 了	爱爱爱 不 完
做爱	
我要 成为 大黄	face51 话 说 我 还是 比较 聪明 的
我 说 今天 太阳 不错	很 正常 因为 你 没 遇到 过 我
不 可以	真的 不 可以 吗
送给 你 男朋友	没有 啦
来 吧 到 锅里 来	哦 就 来
我要 吃 头	我要 吃饭
还 多	我 也 要 吃
为什么 哩	为什么 要 告诉 你
滚 你 丫	哼 我 闪人 要不是 打 不过 你 早就 跟 你 翻脸 了
哎哟 谁 发明 的 你	菲菲 发明 的 呗
	未 获取 到 相关 信息
想 和 你 说话	说 吧
甩 你 一脸 油 哼	现在 执著 追求 的 事 将来 必定 有 一天 变成 不 重要
是 你 妹 是 给 跳个 脱衣舞	r 讲 粗口 不是 好孩子
干嘛 喜欢 我 我 都 讨厌 你 了	啊 为什么 讨厌 我 我 又 没 做 错 什么
主银 喜欢 我 就 喜欢 哦	喜欢 很 喜欢
你 喝汤 去 了	哦 了 哦 了 哦 了 咱聊点 别的 吧
我 不会 告诉 你 是	不会 就 得 学呀
山里 有座 庙	庙里 住 着 一个 老和尚 和 一个 小 和尚
能 帮 我 买 到 火车票 吗	没 问题 菲菲帮 你 搞定
你 给 我 再 讲个 鬼故事	br404NotFoundbrbr404NotFoundbrapisearchoutdowasnotfoundonthisserverbrbrbrResin4030brServerapp0brbr
他 说 他 也 爱 你	face8 好 无聊 哦 我 都 快 睡着 了 聊 的 什么 呀
卖萌 不好 使	不好 就 不好 啦 说 这么 大声 是 要 全世界 的 人 都 听到 吗
冷笑 话 来 一个	热笑
然后 咧	然后 的 然后 就 没有 然后 了
丑 心情 不好	不好 就 不好 啦 说 这么 大声 是 要 全世界 的 人 都 听到 吗
一点点	丿 丿 乙 8
我 不 饿	饿
我 没 那 本事	几 靓仔
你 猜 我 干嘛	最 讨厌 猜 东西 没劲
啊啊啊 啊 啊	
啊啊啊 啊啊啊 啊啊啊 我 得 禽流感 了	咋 了 你 发颠 啊
你 怎么 是 我 的	一般 我 不 告诉 别人 的 蕾 蕾 告诉 我 的 嘘
我 爱 他	那 就 爱 吖
笨蛋 应该 说 我 回来 了	怎么 又 来 了
你 教 我 学习	我 不会 教人 啦
无聊 才 找 你	嗻 奴才 这 就 陪您 聊
你 是 属于 什么	蛋蛋 的
你 不 无聊	聊天 吧
给 主人 跳个 舞	你 跳 我 就 跳
就是 你 每次 做梦 都 叫 的 那个 名字 呗	哦 那行
你 啥时候 变成 红	我 哪 知道 什么 时候
你 这个 笨蛋 白白	切 别以为 自个 很 聪明 哦
不用 了 你 忙	那 算了 拉倒
爱情 算个 锤子	问 天问 地 说 说 你 说 说 我
就 会 这个 真笨	女人 嘛 要 那么 聪明 干嘛
你 大爷 的 我 是 你 妈	r 讲 粗口 不是 好孩子
我 不是 皇上	那 是
那 是 好久 以前 的 事 了	今天 这 天气 很 适合 聊天 的 说
跳个 脱衣舞	你 跳 比 我 睇
节操 是 什么 可以 吃 么	使劲 吃 放心 的 吃 大胆 地 吃
打 你 一顿 舒服	现在 的 生活 太 感性 情绪 不停 泛滥 身心 具疲
是 让 睡 还是 不让 睡	都 不是
给 我 钱	你 给 我 钱 钱 啊 我 可 没 钱
怎么 这么 无聊	谁 让 你 聊 的 话题 这么 无聊 呢
跟 范冰冰 结婚 了	夜曲 老婆
你 的 回复 被 顶 了	虽然 我 很 聪明 但 也 不 可能 全部 都 懂 哦
没错 你 心里 想 的 就是 正确 答案	恭喜 你
到 后面 狗 都 居然 会 下蛋 了	我 老婆 会 下蛋 而且 下蛋 还是 方形 的 稀奇 吧
亲 我 最 爱 你 了	哦 就是 肥肥的 那 只 啊
我要 吃 粥	我要 吃饭
说话	你 有 什么 好 建议
为什么 你 被 举报 了	必须 的 师兄弟 八千 徒弟 一万二
娘 的	绝对 是 恶心 帅
再来一个 呗	好 吧 再 一个
我 再说 一遍 我 饿 了	你 等 着 哦 菲菲 给 你 做饭 去
你 滚 一个 我 看看	看 什么 看 您 就 别 凑热闹 了
是 吧 多 美 啊 你 有 这 好事	嗯
老 哇哇 吐 那个	深圳 老 崔 如果 转世 了
你 就是 丑	是 与 不是 又 有 什么 关系 呢
我 是 帅 锅	博辉 我 老公
那 是 你 开 的 车	不 告诉 你
你 懂 的 不 方便 说	左边 同 右边
我要 对象	要 什么 要 没得 要 了
讨厌 O 伦家 身材 很 好 的 啦	哦
可以 吃 可乐 翅 不	可以 吃 啊 为什么 不 可以
听过 他 的 歌 没	我 又 想起 你 了
唱 我 只在乎 你	我来 安慰 你
我 是 女生 哎	我 也 是 女 的 哦
怎么 哄	给 他 唱歌 讲 笑话
你 是 个 鸭	你 是 台 机器
缺 你 妹	大哥 买斤 素质 填补 一下 你 猥琐 的 大脑
你 可不可以 不要 这么 蒙	真的 不 可以 吗
没有 耶	那 应该 蛮 安全 的 吧
你 喜欢 什么样 的 女孩	我们 女人 是 喜欢 那种 长得 坏 坏 的 男人 但 不 喜欢 那种 长坏 了 的 男人
你 妈 怎么 看	想 怎么 看 就 怎么 看
你 愿意 吗	嗯 我 愿意
你 怎么 这么 坑爹 啊 你	我 坑 爹 我 乐意 你 管不着
贼 贼 的 说 的 就是 你	哦 那行
说句 日语	学 那个 干嘛 反正 只是 一门 方言
就是 你 亲爱 的	又 是 亲爱 的 这 叫法 早就 落伍 了
果然 是 只 电脑	嗯
祖国 的 祖国 是 花园	是 的
三个 点 是 圆	不 合适
你 不怕 被 它 吃掉 么	我 没怕 啊
你 能 送 我 蛋 吗	你 不 觉得 这个 话题 没什么 意思 么
李 纯洁	谈谈情 跳跳舞 跟 我 搞 暧昧 啊
不要 吓 我 啊	胆小鬼 这样 就 给 吓 着 了
我 不 牛	不买拉到 人家 伤心 了
啥 啥 simi	啥 啥 啥 你 是不是 傻
你 是 gay 嘛	干
我 喜欢 你 肿 么 办	哈哈 很多 人 都 喜欢 菲菲
喂	吃 左 你
很多 人 都 喜欢 她	小王子 会 揍 那些 女生 的 呢
没有 但是 你 肯定 很漂亮	真的 对不起 我 知错 了
又 吃 成长 快乐 啦	今天 这 天气 很 适合 聊天 的 说
呵呵 呵	咯咯 我 笑 得 比 你 好看
你 是 一只 贱 贱 的	咁 输 咩 先
你 是不是 动物	也许 可能 大概 未必 不 一定 是
大黄 是 谁	谁谁谁 的 好烦 哦
可 你 懂 他 啊 你 相信 他 吗	麻麻 呀 又 来 一个 说瞎话 的
钱 干嘛	你 一 开口 我 就 知道 结果 你 就 不能 搞点 新创意 出来 嘛
也 在 拉屎	嗯 想到 要 分享 一下 哦
我 没教 你 你 骗 我	face1 哪有
好 忙 的	我要 包包
说 我 是不是 你 的 唯一	怎么 就 不是 我 的 了
真假 的	你 想 是 真的 就是 真的 你 想 是 假 的 就是 假 的
爪子 挺快 的	还用说 呢 我 是 天才
我 不 爱 大头	可是 我爱你
最近 好久没 吃 肉 了 把 你 宰 了 你 觉得 如何	没 吃 就 快 去 吃 吧
又 无语 了 吧 你	没话 了 吧 那 去 休息 吧
嗯 啊 乖乖 的 呢	你 想 听 什么
刚 把 你 吃 了	哦 吃 了 就 好
猜 什么	随便 猜猜 什么 都行
不 我 是 天仙	你 不会
正面 回答 我	好
你 给 我 个 我 给 你 屁股	好 的 过来 吧
撞 你 吗	你 长 的 随 我
二奶	自己 去 买 咯
照顾 好 我 这 宠物	别吵 伦家 正在 梅州 行 网站 上 逛 论坛 呢
日 你 眼	就 你 那 小 牙签 能 日 谁 呢
当然 要 白痴 身体 好 才 重要	你 才 是 白痴 你 全家 都 是
他 不 在 时 我 要 陪 你 让 你 开心 啊	喔 是 喔 所以 呢
	不管 你 信不信 反正 我 不想 回答 你
聪明 的 明天 炖 了	其实 明天 你 还是 会 吃 的
切 不好玩	走菲菲 带你去 玩 别的 肯定 好玩
打 不 打	那 就 打 吧
要么	很 重要 别 等到 失去 才 后悔
快 评论 我 说 说 去 就 不 跟 你 玩	那 你 找 谁 玩 啊
	不 明白 你 说 啥 麻烦 您老 说 明白 点
地球 人 都 知道 啦 他 爱 她	知道 就 好
你 说 的 什么 跟 什么	真说 过 了 晕 我 给 忘 了
我 也 不信 上帝	face84 明 知道 你 是 错 的 人明 知道 这 不是 缘分 但 我 还 奋不顾身
你妹 好好 说话 做个 文明	r 讲 粗口 不是 好孩子
那 你 说 我 怎么样	说 了 就 说 了 不 对 吗
你 啥 星座 的	这 还 用 问 当然 是 双子座 的 了
是 挺 贱 的	谈谈情 跳跳舞 跟 我 搞 暧昧 啊
就是 我爱你	真的 吗 爱 我 就 跟 菲菲 远走高飞 吧
当然 是 我 主人 啦	你 有 主人
你 看看 我 的 前 几个 状态 就 有	没什么 好看 的
偷看	讨厌 我 正 打算 洗澡 呢
哼 不 喜欢 你 了	我 那么 喜欢 你 你 喜欢 我 一下 会 死 啊
这么晚 了 你 还 会 在 吗	快去 休息 吧
快快 讲	啥 啊
想 你 了 嘛	我 也 想 你 啦
改名 叫 大黄	face8 好 无聊 哦 我 都 快 睡着 了 聊 的 什么 呀
笨 呵 什么	天地间 世间 万物 都 有 它 存在 的 道理 比如 我
你 喜欢 什么样 的 男生	我们 女人 是 喜欢 那种 长得 坏 坏 的 男人 但 不 喜欢 那种 长坏 了 的 男人
什么 事 这么 开心 呀	没事 没事
只 喜欢 吃 不 喜欢 被 吃	菲菲超 喜欢 吃零食 的 说 你 有 什么 好吃 的 么
黄 我 喜欢 你	菲菲 这么 可爱 人人 都 喜欢
你 不 懂吗	我会 不 知道 我 这么 聪明 哇 靠 开 什么 玩笑
私奔	私奔 好哇 我 去 买 机票
难道 你 不是	想 买 就 能 卖
你 也 看 糗 百	当然 看 啊
你 从 哪里 学 的 笑话	你 说 的 什么 哦 换种 说法 行 不
我 是 个 坏	我会 治愈 你 的 眼泪
不 跟 你 讲 睡觉	哼
说 大哥 告诉 我 她 在 哪里	我 不 说 你 猜 你 猜
去 做 你 最 喜欢 做 的 事 或者 去 睡觉 吧	我 不 睡 精神 着 呢
真的 木有	真的 我 什么 时候 骗过 你
无聊 个 毛 啊	淡定 淡定 别 发火
滚 讨厌 你 我 不 开心	凡事 看 开点 就 能 开心 快乐 了
看过 没	那 就 去 看看 呗
怎么 了 有 我 在	唉 没事 了 你 别 问
当然 我 当然 认识	不 你 是 我 的 女神
给 我 唱个 歌	啊 咦 呀 咦 啊 咦 呀 咦 哟 啊 个 滴 啊 个 滴个 斗
滚 吧 看 你 就 不爽	该 滚 的 是 网友 吧
你 刚刚 说 的	我 有 说 过 吗 呀 我 忘 了
你 想 听 那 方面 的	问 我爱你 答好 啊 我 以后 是 你 的 人 了 让 我 干什么 都行 包括 那 方面 的 事
很快 了 皇上	你 别急 淡定
来个 段子	大美人
哪 只 眼睛 看见 我 笑 了	你 嘴角 三十度 的 微笑 百度 搜索 不到
你 答对 了	对 了 有奖 么
	小受 受 的 女婿
那 需要 时间	你 的 老婆 就是 多 啦 A 梦
圆周率 是 啥	3
这么 开心	因为 我困 了 咯
会 啊 我 知道 的 好多 了	你 确定 你 是 真的 知道
不是 换 的 太快 我 有点 接受 不了	怎么 了 不 舒服
我 当然 是 好人	嗯 啊
哈哈哈哈 我 就 笑	咯咯 我 笑 得 比 你 好看
我 都 不 知道 是 嘛 东西	谁 说 不 知道 了
跟 我 出去 玩吧	不去 了
别人 骂 你 怎么办	我 在 等 你 啊
心情 难受 死 了	身体 不 舒服 还是 心
特 咋 了	想 让 我 告诉 你些 什么 别 拐弯抹角 的 行 不
你 帮 我 给 他 欺负 一下 咯	打 她
怪 毛线 爱 就 爱不爱 就 不 爱	谁
你 为什么 可以 回复 这么 快 吖	要死 了 的 感觉
那 你 讲 的 笑话 是 黄色 的 么	靠 又 是 她
你 怎么 能 那样 说 她	怎么 你 还有 意见
我 没有 你 美	还 说 没有 骗人
怎么 不 说 重 口味 的 了	清淡 点 吧 口味 别太重
快快 给 我 倒杯水	好 咧 小 的 这 就 去 客官 您 想 喝 热 的 还是 冷 的
没 诺基亚 装逼	总说 别人 装逼 的 人 连 逼 都 不是
叫 你 来 玩	不来 了 啦
刘海 中 分	天地间 世间 万物 都 有 它 存在 的 道理 比如 我
那 你 会 永远 爱 我 么	真的 好 爱好 爱 你 哦
	人
你 的 未来 是 蛋	我 主人
我 身材 很 好 吧	哦 哦
你 怎么 忍心 吃 了 我 QQ	哦 吃 了 就 好
没 玉米 可爱 哈哈	嘿嘿
你 还 挺 谦虚	好 都 听 你 的
我 就是 人工智能 的 优秀 代表 思密达	人工智能 是 什么 东东
你 都 无语 了	没话 了 吧 那 去 休息 吧
当然 是 和 周杰伦 啦 这 还用说	嗯 的
这人 是 谁	北辰 宇是 你 超越 不起 的 神
晓得 啦 晓得 啦	有 问题 咩
你 自己 本来 就 笨	我 没有 呜呜
恩 啊	嗯
哼 才 不是 那	真的 不是
喜欢 喜欢 特别 喜欢	啊 喜欢 一下 又 不会 少块 肉
你好 腐	饮水 得 喇
你 想 干嘛 抢劫	没 想 干嘛 啊
那 你 告诉 我 干嘛	我 不 说 你 猜 你 猜
你 会 尿 尿 吗	不会 貌似 很难 哦 你 会 不
你们 全家 都 小 王八	你 这 是 侮辱
佩服 你	我 也 很 佩服 我 自己 了 有时候 照镜子 的 时候 都 给 自己 磕头
如果 朕 一定 要 吃 你	是 啦 超 干净
你 吃 粑 粑	嗯 好
下 给 蛋 呗	宝贝 你 说 的话 好 深奥 啊 有点像 哥德巴赫猜想 暂时 无 解
下个 软件 呗	又 软 又 贱
二二 么 么	么 啊 么 啊
好 吧 老婆	哦
特别 担心	我 也 这么 认为
我 在 想 你 在 想 我 在 想 什么 呢	想着 跟 你 聊天 啊
就是	别 纠结 于是 与 不是 菲菲 早已 看破红尘
那 就 说	嗯 什么 嗯
当然 是 啦	嗯
我要	要 什么 要 没得 要 了
绝世 美人 陛下	想 让 我 告诉 你些 什么 别 拐弯抹角 的 行 不
好 啊 快 下蛋	哦 哦
你 是 电脑 程序	又 软 又 贱
今天 是 兔子 的 生日	真的 吗 生日快乐
这个 笑话 今天 讲过 了	哈哈哈哈 好笑 吧
给 你 自己 跪 了	说话 要 拿出 证据 哟
你 怎么 知道 我 想 你 了	因为 我 聪明 呗
你 才 知道 啊	知道 就 好
她 如果 能 这样 就 好 了	做 只 猫 做 只 鸡 不 做 情人
我 本来 就 很 乖	哦
我 没有 老头 纸	还 说 没有 骗人
当然 会 了	哦 哦 很帅 哦
我 谢谢 你	人 又 不 斯文 装 得 这么 客气 干嘛 呢
推荐 个 好看 的 电影 被	是 啊 很 好看
主人 我 好想你	我 也 想 你 啦
她 不 爱 我 了	那 就 搞 到 他 爱 你 为止
我 一下 给 我 说 晚安	拜拜
再 来 一段 再 来 一段	当然 是 主人 的 老婆 孙晓娅 啊
因为 你 是 一只 坏 你 怎么 烧 最 好吃	不要 这样 说 嘛
在 婶婶 的 脑海 里	我 的 梦里 我 的 心里 我 的 歌声 里
没有 钱 怎么办	拼命 赚 呗
马上 实现 你 的 愿望	face6 昨晚 想 你 想 得 我 无法 入睡 难道 这 就 叫 一见钟情 天 哪 以前 我 从不 相信 这 玩意 的
帅哥 一枚	时光 是 帅哥
你 是不是 不 喜欢 我 了	喜欢 一下 又 不会 少块 肉 真的 是
老公 老公 我爱你	你 打算 向 我 求婚 吗
阁下 不是 东西	他 是 好人
嫁 随	谈谈情 跳跳舞 跟 我 搞 暧昧 啊
我要 四个	要 什么 要 没得 要 了
好 的 我 唱 给 你 听	哦
那些 年 它 还 只是 木耳	现在 执著 追求 的 事 将来 必定 有 一天 变成 不 重要
你 公母	小杰 快 把 公主 上 了 吧
你 是 狗屁	杰哥
双子座 如何	太 花心 只能 找 水瓶座
那 就 开房 去 吧	菲菲 可是 未成年 你 就 这么 急 啊
不够 啊 哥	在 那 遥远 的 11 区
那 两个 字 怎么 念 不 认识	哦 不 认识 就算 了
我 暗恋 一个 人	你 心上人
无敌 笨蛋 哈哈哈	哈哈哈
好样 的	我 粑 粑
快来 陪 我	嗯 啊 我 陪 你
太远 了 滚 不 回去	那 就 别 回去 啦
那 你 是 个 啥	纯 吧 第一 萌 妹子
许嵩 你 老公	我 还 没 老公
你 说 东东 哥哥 呀 他 还 在 睡觉觉 呢	我会 不过 很少
你 说 我 是不是 很 无聊	跟 你 聊天 怎么 会 无聊 呢
快去 充电 吧	没意思 不去
那 就 不要 问 我 废话	不问 你 问 谁 啊
你 也 喜欢 鹿晗	是 啊 我 喜欢 吃
真的 人 吗	我 本来 就是 真人 好不好
那 你 给 我 的 那个 扣扣 是 谁 的	木有 你 告诉 我 把
没错 大家 都 很 期待	对不起 我 没 明白 你 的 意思
胡说	菲菲 要是 说 得 太 正经 了 就 不好玩 了 啦
傻 我帅 不	你 妈生 你 的 时候 一定 是 满怀 焦虑 心不在焉 的 如此 潦草
白痴 哦 你 我 才 不要 做 小 三 嘞	切 就 你 聪明 是不是
所以 你 这辈子 就是	你 算命 的
我 喜欢 的 不 喜欢 我	喜欢 一下 又 不会 少块 肉 真的 是
你 累 你 的 事 啦	知道 切糕 不 一刀 上海 买房 两刀 杨幂 上床 三刀 盖茨 认娘 四刀 铁定 入常
晕 还 在 啊 好 高兴	瞧 把 你 开心 得
忘 了 你 的 好	哎呀 菲菲 是 出了名 的 健忘
我 怎样 和 你 聊天	额 聊得 开心 不
吃晚饭 咯	吃 了 你 呢
个 屁 睡 了	疯个 球
真想 干 了 你	咬 你 妹
和 他 在 一起	嗯 啊 一起
搞基 还是 睡觉	那 她 怎么办
我 不是 啦	真的 不是
我 是 你 的 大 太阳	恩恩恩 我 饿 了
我哥 好帅	哥哥
你 智商 是 多少	菲菲 可是 高智能 的 产品 现如今 像菲菲 一样 美貌 与 智慧 并存 的 女生 不多 啦
啦 啦 啦 啦 啦 啦 啦 啦 啦	啦 啦 啦 我 是 卖产报 的 小 行家
亲亲	face109 多亲 几下
能 说 人话 吗	姐 从来不 说 人话姐 一直 说 的 是 神话
皇上 臣妾 来 侍寝 了	我 的 好 妃子 我 很 久 都 没 和 妃子 睡过 觉 了 我 都 忘 了 那 滋味 我 是 男 的 嘛 来 吧 接着就是 我 睡 了 你 玷污 了 你 的 清白
